Pid,phenotype_name,description,synonyms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201014,Asymmetric bilateral cleft lip,"Bilateral cleft lip in which the cleft lip on one side is complete (i.e. starts from the bottom of the upper lip and reaches the nasal cavity), and the one on the other side is incomplete (i.e. starts from the bottom of the upper lip but does not reach the nasal cavity) or microform (i.e. a notch, groove, or scar without noticeable rupture of the lip).",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201013,Microform bilateral cleft lip,"Bilateral cleft lip in which the cleft lip on both sides are microform, i.e. a notch, groove, or scar without noticeable rupture of the lip.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201012,Incomplete bilateral cleft lip,"Bilateral cleft lip in which the cleft lip on both sides are incomplete (i.e. start from the bottom of the upper lip but do not reach the nasal cavity), or the cleft lip on one is incomplete and a microform on the other side.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201011,Complete bilateral cleft lip,"Bilateral cleft lip in which the cleft lip on both sides is complete, i.e. start from the bottom of the upper lip and reach the nasal cavity.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201010,Microform cleft of the upper lip,"Notch, groove, or scar of the upper lip without noticeable rupture of the lip.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201009,Complete cleft of the upper lip,Cleft of the upper lip that starts from the bottom of the upper lip and reaches the nasal cavity.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201008,Complete cleft maxillary alveolar ridge,Cleft maxillary alveolar ridge in which the cleft goes through the entire length of the maxillary alveolar ridge.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201007,Incomplete cleft maxillary alveolar ridge,Cleft maxillary alveolar ridge in which the cleft does not go through the entire length of the maxillary alveolar ridge.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201006,Incomplete cleft soft palate,Cleft soft palate in which the cleft doe not goes through the entire length of the soft palate.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201005,Complete cleft soft palate,Cleft soft palate in which the cleft goes through the entire length of the soft palate.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201004,Incomplete cleft hard palate,Cleft hard palate in which the cleft doe not goes through the entire length of the hard palate.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201003,Complete cleft hard palate,Cleft hard palate in which the cleft goes through the entire length of the hard palate.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201002,Microform unilateral cleft lip,"Notch, groove, or scar of the upper lip without noticeable rupture of the lip. Microforms are sometimes associated with disruption of the continuity of the orbicularis oris muscle.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201001,Complete unilateral cleft lip,Unilateral cleft lip cleft that starts from the bottom of the upper lip and reaches the nasal cavity.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:5201000,Incomplete unilateral cleft lip,Unilateral cleft lip cleft that starts from the bottom of the upper lip but does not reach the nasal cavity.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:4000181,Excessive dental attrition,"A higher than expected amount of attrition of teeth, as menifested by loss of tooth characteristics including rounding or sharpening of incisal edges, loss of cusps, and fracturing of teeth, to an extent that is deemed more than would be expected at a given age.",Excessive tooth attrition;"Excessive wear and tear on teeth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:4000168,Shark teeth,"Eruption of permanent teeth behind deciduous (baby) teeth before they have fallen out, resulting in a double row of teeth. This phenomen is typically observed between the ages of 5 to 7 years.",Cauliflower teeth;Double-parked teeth;Teeth: double row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:4000104,Curved dental root,A root of a tooth that is more rounded than normal.,Dental roots curved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:4000093,Ectopic tooth eruption,"A condition in which the permanent teeth, because of deficiency of growth in the jaw or segment of jaw, assume a path of eruption that intercepts a primary tooth, causes its premature loss and produces a consequent malposition of the permanent tooth.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:4000033,Non-spinning vertigo,"A perception of unsteadiness of dizziness that is not characterized bythe spinning sensation of classic vertigo, but rather by an oscillatory perception (rocking, bobbing, or swaying despite the fact that the subject is not moving).",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:4000032,False perception of self-motion,A perception that one's body is moving or swaying despite lack of motion of the body.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000079,Abnormal mandibular symphysis morphology,A structural abnormality of a mandibular symphysis.,Abnormality of mandible symphysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000078,Abnormal mandible coronoid process morphology,An abnormality of a mandible coronoid process.,Abnormality of mandible coronoid process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000077,Abnormal mandible condylar process morphology,An abnormality of a mandible condylar process.,Abnormality of mandible condylar process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000076,Abnormality of lingual tonsil,An abnormality of a lingual tonsil.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000074,Abnormal lingual artery morphology,Any structural abnormality of a lingual artery.,Abnormality of lingual artery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000073,Abnormality of levator veli palatini muscle,An abnormality of a levator veli palatini.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000072,Abnormal levator palpebrae superioris morphology,An abnormality of a levator palpebrae superioris.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:3000071,Abnormality of levator labii superioris,An abnormality of a levator labii superioris.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
